"Package","Installed","Version","Function","Audit_Date"
"forecast",TRUE,"9.0.2","seasadj","2026-08-23"
"forecast",TRUE,"9.0.2","seasonal","2026-08-23"
"forecast",TRUE,"9.0.2","seasonaldummy","2026-08-23"
"forecast",TRUE,"9.0.2","seasonaldummyf","2026-08-23"
"forecast",TRUE,"9.0.2","seasonplot","2026-08-23"
"forecast",TRUE,"9.0.2","ses","2026-08-23"
"forecast",TRUE,"9.0.2","sindexf","2026-08-23"
"forecast",TRUE,"9.0.2","snaive","2026-08-23"
"forecast",TRUE,"9.0.2","spline_model","2026-08-23"
"forecast",TRUE,"9.0.2","splinef","2026-08-23"
"forecast",TRUE,"9.0.2","stlf","2026-08-23"
"forecast",TRUE,"9.0.2","stlm","2026-08-23"
"forecast",TRUE,"9.0.2","taperedacf","2026-08-23"
"forecast",TRUE,"9.0.2","taperedpacf","2026-08-23"
"forecast",TRUE,"9.0.2","tbats","2026-08-23"
"forecast",TRUE,"9.0.2","tbats.components","2026-08-23"
"forecast",TRUE,"9.0.2","theta_model","2026-08-23"
"forecast",TRUE,"9.0.2","thetaf","2026-08-23"
"forecast",TRUE,"9.0.2","trendcycle","2026-08-23"
"forecast",TRUE,"9.0.2","tsclean","2026-08-23"
"forecast",TRUE,"9.0.2","tsCV","2026-08-23"
"forecast",TRUE,"9.0.2","tsdisplay","2026-08-23"
"forecast",TRUE,"9.0.2","tslm","2026-08-23"
"forecast",TRUE,"9.0.2","tsoutliers","2026-08-23"
"MCS",TRUE,"0.2.0","LossLevel","2026-08-23"
"MCS",TRUE,"0.2.0","LossVaR","2026-08-23"
"MCS",TRUE,"0.2.0","LossVol","2026-08-23"
"MCS",TRUE,"0.2.0","MCSprocedure","2026-08-23"
"MCS",TRUE,"0.2.0","show","2026-08-23"
"esback",TRUE,"0.3.1","cc_backtest","2026-08-23"
"esback",TRUE,"0.3.1","er_backtest","2026-08-23"
"esback",TRUE,"0.3.1","esr_backtest","2026-08-23"
"scoringRules",TRUE,"1.1.3","ar_ms","2026-08-23"
"scoringRules",TRUE,"1.1.3","clogs_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_2pexp","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_2pnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_beta","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_binom","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_clogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_cnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_ct","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_exp","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_expM","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_gamma","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_gev","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_gpd","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_gtclogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_gtcnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_gtct","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_hyper","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_lapl","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_llapl","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_llogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_lnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_logis","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_mixnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_mixnorm_int","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_nbinom","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_norm","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_pois","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_t","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_tlogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_tnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_tt","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps_unif","2026-08-23"
"scoringRules",TRUE,"1.1.3","crps.numeric","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_beta","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_exp","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_gamma","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_gev","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_gpd","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_lapl","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_llapl","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_llogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_lnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_logis","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_mixnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_moments","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_nbinom","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_norm","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_pois","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_t","2026-08-23"
"scoringRules",TRUE,"1.1.3","dss_unif","2026-08-23"
"scoringRules",TRUE,"1.1.3","es_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","ess_moments","2026-08-23"
"scoringRules",TRUE,"1.1.3","f2pexp","2026-08-23"
