"BDMM-SS","BDMM-NR","BDMM-K","DMA","DMS","DMA-K","B-LASSO","B-RIDGE","BMA","BMS","TVP-REG","TVP-K","AR_1","Lin_reg","HA"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.544451224186625,0.612023058141984,0.53444293412238,0.541676099158638,0.58344354174595,0.514927658081453,0.690020780668221,0.747581243593213,0.552524216271221,0.594961929016069,0.425589465903297,0.562885310144105,0,0.439780573400476,1
0.0448173216349773,0.0511464559331431,0.0675597101755572,0.0739030178241314,0.05578297489342,0.0709037651387218,0.0463922641185063,0.0615516002011431,0.0360002247508947,0.0177945570486928,0.0826324242964383,0.0262575024448637,0,0.120096488654033,0
0.0726498971612764,0.0581128525797013,0.0690306584196403,0.0489914656893311,0.0798795460866454,0.032542380380826,0.0565916558477233,0.0388708891330033,0.00487830511132983,0.0851025478196621,0.0906457686179774,0.164430045964978,0,0.000616343390024691,0
0.0564528905492712,0.0427349870792531,0.0471865496506156,0.0300339346103319,0.114141772763851,0.0459216871724101,0.0444076753704055,0.0592020614115017,0.0590952758573887,0.0475015787353092,0.0384475514531539,0.0977036321431497,0,0.33632003608227,0
0.0598235102578592,0.0462541662308161,0.0189650269686407,0.0273691572436197,0.0369737262195999,0.0369271945159307,0.0332876177450599,0.00867959382470827,0.0166866903882809,0.069779697822422,0.0099078069650412,0.12116101171525,0,0.0180892442053177,0
0.0445577665902017,0.0277049464242832,0.0181551042175257,0.0277729393950743,0.0232836341828263,0.0216272871328218,0.0259919631438503,0.0135230680908754,0.0184638553737821,0.0706668255156541,0.0269979685157896,0.050290291661732,0,0.024685448743762,0
0.0454110785985132,0.0193362691834033,0.0200368260897032,0.0172519715351753,0.0258842006792403,0.024294664875755,0.01897815977095,0.00816847714269648,0.0188062446569344,0.0161742285070385,0.0525285237075069,0.089388975003552,0,0.010145890112587,0
0.0283646381810855,0.0200310719756386,0.0201226446497825,0.0338946519528094,0.0443642297085223,0.0285663198853614,0.0371237800008203,0.0533428749448196,0.00633218817730091,0.0146550452573108,0.0275699661282479,0.0562436253031275,0,0.00432575521308294,0
0.0329255374447037,0.0178003542198325,0.0317328619320315,0.0123598359472863,0.0296084976646139,0.0029486367117953,0.00842034088601872,0.015942579223461,0.0142618136395697,0.0214158646650059,0.0457637823051703,0.011791316197741,0,0.183888245016953,0
0.0189047030019754,0.00987021894129005,0.0135554873334514,0.0079270383397898,0.0113251754047592,0.0229270265154651,0.00360365305551035,0.00349761709804048,0.0157564801367859,0.0163626208774311,0.0337503690422325,0.00566106666419905,0,0.00617647861335344,0
0.0171435677305809,0.0205839915242298,0.00845337843900675,0.0130002212371551,0.0112359777449946,0.00360160591403112,0.0157169653033677,0.0323292602317084,0.00790775993064803,0.015060581690585,0.0624562951696225,0.166647401325291,0,0.0106029223302882,0
0.0211728435960084,0.0115452846358402,0.0118711030658814,0.0159996480776173,0.0141946128193271,0.00767693248264679,0.0104092476056458,0.0337593317023514,0.0234617095148177,0.0139834522309409,0.0207462376374015,0.107261556083258,0,0.0257181753107368,0
0.0276665359062752,0.00967459501074351,0.0089965976520156,0.0145402996218002,0.0217733113348251,0.00298546506354586,0.0125966104932171,0.0143307250126932,0.00117887308039419,0.0157178819082257,0.033570440397387,0.00935685979006006,0,0.0450105676286394,0
0.0192981172951661,0.024709894830551,0.0130605271083145,0.00810561236427587,0.0175789639188402,0.0114792462493218,0.0145203874271553,0.0220081192206996,0.00123405618017796,0.0581282486893079,0.0574795547646545,0.0294138227504449,0,0.00899438504205585,0
0.00785547400939669,0.0269012972284139,0.00642537935200587,0.0196710136806728,0.0265765848588439,0.00929008804768736,0.0067281507157045,0.00295491838025655,0.0241040780884103,0.0884210336742051,0.0151295075518231,0.0691356846831124,0,0.0628579712174888,0
0.00746182716078733,0.00577866271257926,0.00400245095971301,0.0123364545281306,0.0107427766064974,0.0124537531137384,0.00882217569359192,0.0101911190321922,0.0575254057541994,0.0469527274542819,0.0066830685786808,0.010352106162286,0,0.00601430919660189,0
0.0121764009413036,0.012267718344244,0.0178260632170922,0.0216198816914998,0.00994101765801767,0.0225794515235035,0.0216226080722043,0.00946644385790708,0.00102580379191003,0.00398463363401165,0.0176884535864406,0.0804013700420829,0,0.016179855398186,0
0.0232162647345595,0.00355637794709612,0.00442601097235348,0.00956372740204373,0.0122972432385546,0.01056386858958,0.00988115770699592,0.0282194621087056,0.00663735731170786,0.0422685805988326,0.0184075092589747,0.0275032424461523,0,0.202359272501777,0
0.012238173508395,0.0101958622074149,0.00714133320721488,0.00853886428678301,0.0113270648751605,0.0135211529118565,0.00275735382502938,0.0044128447980318,0.0437538864416863,0.00761307191049436,0.0178494245047923,0.0153636733685978,0,0.000272757750513305,0
0.0312500458779187,0.0120069158097284,0.00732252086131265,0.00782458676800882,0.056579022995641,0.012892580670092,0.00552625270444625,0.0028483295660818,0.0260929855564889,0.00590753087169696,0.00303739606180648,0.0088372742663038,0,0.000117799659976655,0
0.003857822687305,0.0235107584456496,0.00935043163944133,0.00825068701184085,0.0102494315121593,0.00528269981010161,0.0057966661983549,0.0250738618848771,0.0310235684743811,0.0103969300272269,0.00276633370365682,0.0091719565990258,0,0.00208854450896895,0
0.00840409184178112,0.015555327262514,0.0157503700551104,0.0245806219533182,0.015576995285737,0.00993703968255218,0.0101391405512173,0.000798005420279582,0.00815315584785281,0.00892387664401267,0.00857776930368448,0.0114315737680838,0,0.0413640346927628,0
0.00452237948608063,0.02016278388574,0.0188519434187665,0.0170398276394689,0.0288137981614834,0.100233937303642,0.00513633476202165,0.0202447509553279,0.0121928299686408,0.0045055995325143,0.0316574383215524,0.0128324353519763,0,0.057886268257688,0
0.00912742403128961,0.00269718656010346,0.00631122237697318,0.00875690463172551,0.0141804883903715,0.00854638786207653,0.0547164151995934,0.00434482458774,0.00298646155650364,0.00160196599112757,0.00631339667499878,0.00518391940161377,0,0.00352042490293741,1
0.0026883211734525,0.0245655980621686,0.00831205315398072,0.00571377672412682,0.00792397612017864,0.00526726828475908,0.00672331792430573,0.00552396895108884,0.00124535102165169,0.0147438894998929,0.0590215047510992,0.034193211008662,0,0.00235069176125595,0
0.0091493472536374,0.0073924914491103,0.00259613643144489,0.00469709646353418,0.0163414490647924,0.0048712773924605,0.0279819281805979,0.018205717131458,0.0038985882509898,0.0167073164524918,0.000953785568738062,0.0691605425990306,0,0.0013305151441003,0
0.00336511851599283,0.00463091349815518,0.005581656955884,0.0126038306023305,0.00642064016030868,0.00324888729395314,0.00702059375460263,0.0111312799127338,0.0120841716246197,0.0236830342027043,0.00379031642017564,0.00840532532180065,0,0.0328392760369061,0
0.0026146090289715,0.00940867326702177,0.00483149738396988,0.00115371382838205,0.0147823410469844,0.00387759461596082,0.0191383660411986,0.000860217624762648,0.00178293713724093,0.00238686600665993,0.000132622038674218,0.00566936182738367,0,0.000880071819898762,0
0.00312984068945345,0.0090147067964717,0.00189988588681398,0.00526660968417606,0.0151930747958866,0.00143079674652882,0.000843704844767846,0.00645364042986092,0.0237924117946132,0.0105238745140887,0.00127030421411746,0.00278594948455569,0,0.000437606652730295,1
0.00601242543553462,0.0132772733977537,0.00435622914843734,0.00507690163367635,0.000392037669185762,0.00530610919030584,0.00954116602307065,0.00494487264032576,0.0170962868897171,0.00187298968551378,0.00252840376014707,0.0548310973263919,0,0.0112330282258384,0
0.00145829342635526,0.0119545247292784,0.0128867881730159,0.00570527440258542,0.00308898568607735,0.0123491070359284,0.0134884094498803,0.00159164734860473,0.012318059955294,0.0620251314196483,0.0233022936251335,0.00987232852526732,0,0.0154404417708864,0
0.00626707913069066,0.0163540116072798,0.00706847076569147,0.00437328361144407,0.0311329602852489,0.00420273877810567,0.00198158984556304,0.0043164369369165,0.0184653847156558,0.0306833175040156,0.0155867709989558,0.0298119223896251,0,0.0234415605914349,0
0.00905693456949873,0.0181882966773572,0.00445538862943929,0.00574601830529374,0.0118437280507749,0.0036229646900379,0.00365557282168115,0.00964133033331613,0.0303177527984813,0.0239047623583529,0.0515560254691174,0.00682520207819584,0,0.128829077244137,1
0.0109560133373058,0.00866859980885125,0.0165043141301786,0.0101691907528898,0.00787784731297396,0.0120830087641088,0.0110460990667164,0.0049937636856445,0.00816210664449169,0.0101343137069363,0.0139126356173039,0.00259991325496668,0,0.121047142392388,0
0.0149556389256459,0.0187450075618675,0.0133454206695597,0.0193752111530017,0.0135094096948696,0.011976720485529,0.0493446150498336,0.0289125832126639,0.0240422669660267,0.0106053500353146,0.00293277306474981,0.00596691886113528,0,0.0556698409949239,1
0.0130022498528597,0.0190159577951482,0.0110616655422041,0.00341591856507819,0.00334677355914455,0.0146147690831886,0.00254876117282097,0.00407292950512434,0.0026053544296321,0.016975199581049,0.00898967129544086,0.0480089536178367,0,0.00634893815580117,0
0.0184850736869427,0.00874382548007806,0.012554047922769,0.0188245841719001,0.00165291132401242,0.0101876306214648,0.0140743397876305,0.000353568873747037,0.0180940970842961,0.0130683461931763,0.0122263134007729,0.0499778307873853,0,0.0124910064357605,0
0.0106844551528928,0.0126133625761543,0.0119080141575946,0.0171728457994611,0.0160576327525951,0.00291966934585524,0.0210693284543569,0.0100195577478305,0.0193889847006208,0.0488462418776359,0.027048742659771,0.041303241772399,0,0.00169572910131853,0
0.00705171421447329,0.0245732155693235,0.00918037063640641,0.00559064298875092,0.00583345479148356,0.00590437464595103,0.0179352074395678,0.0144054866694905,0.0140536181583724,0.00238988235658595,0.00317527266260911,0.0126880333224359,0,0.0818358413161789,0
0.0100105900969942,0.0175644330234804,0.00806831829910888,0.0161247520318743,0.00501082968353406,0.00756635248509778,0.0286538580564721,0.00165242564876931,0.00340559467617574,0.0251463415749315,0.00971748829073191,0.0473437032646806,0,0.0239935295069176,0
0.022224386625667,0.00888362868389967,0.0195948541224218,0.0137179884541859,0.00772255482897244,0.00847996343809999,0.0366173863547508,0.0032696792918238,0.00743767059361912,0.0219611883854841,0.044799588327631,0.017376428266193,0,0.0435799980838271,0
0.012957838249378,0.0222122124787681,0.016263544113693,0.0108244033976866,0.00916273742220491,0.016611435969316,0.0307000014813823,0.00207527155744882,0.0109451889397456,0.0305299118703433,0.0157048737804044,0.00704376977369597,0,0.0157335732547092,0
0.00571013167291974,0.0081337742916989,0.00854515022682345,0.00475648295650844,0.00392523627280529,0.035422439857801,0.00353789072676472,0.00403169312578611,0.00410321761457474,0.0432868644219798,0.00451904062439974,0.0115957359495541,0,0.00522822867365969,0
0.00601894208264952,0.0117241934764829,0.0149890165445523,0.0169735312726813,0.00787463631822897,0.00584339741960692,0.0214373271548975,0.00439285050339393,0.0296050664617187,0.00737459246200866,0.0207798460411002,0.00432960241956649,0,0.000468726852156594,0
0.00408687813875771,0.0150585761950127,0.00831258766832563,0.0058049465496725,0.0292260832747154,0.00892444640741349,0.0122788618327842,0.00272573209030579,0.00237347451732794,0.0678297282661935,0.0145328560281531,0.0168085760770605,0,0.000485287443510768,0
0.00792927488306949,0.00612267303278976,0.00427562324721882,0.00985374086616452,0.00552685455681669,0.0149082463474454,0.0059081370902956,0.0160127796078923,0.00974099895239729,0.0188900609761331,0.021384432156054,0.0136632930025159,0,0.000445616393256023,0
0.036341851829289,0.0296798026061168,0.0254064439673456,0.00442452980621376,0.0238245556093476,0.00403930175047102,0.0073634401828312,0.00578355004875426,0.0468140610387167,0.0137332163211025,0.00271060331953482,0.060733774589613,0,0.00773805344043234,0
0.00938707889452179,0.0130721943415257,0.00922966537955732,0.00582349576802811,0.0145319860900926,0.00582292045911365,0.0480620827680603,0.00448933440934955,0.0211821520698492,0.052522853028758,0.0123580980629909,0.0104147759541409,0,0.000719652206608716,0
0.0113549839787802,0.0105749003901295,0.0138941038397134,0.0111468021697386,0.0114691149759941,0.00466169960733024,0.00274996135367882,0.000931340949070731,0.0174318418931836,0.00496547085850103,0.000450784433382135,0.110109114130748,0,0.107465092236913,0
0.020909894010335,0.00958008063147225,0.0197933054069715,0.0164891370813305,0.0354042738788655,0.0069566705822509,0.00891566822754942,0.00401957938522076,0.00351518559203696,0.0232375370171606,0.0976543287781135,0.0743997728927802,0,0.0151977206654701,1
0.0125643275490019,0.00978151699073253,0.0112051967842927,0.0232800329890968,0.0111961963181371,0.0210628263812383,0.00407531818352287,0.00162850263034125,0.0753985697268027,0.00760497293503527,0.0144650102817327,0.0115010093134448,0,0.00096228027162517,0
0.0120846608959938,0.00713026780359428,0.00883898735232344,0.015383605917806,0.00341833903296617,0.0104065815104112,0.0167625935849477,0.00637866786336561,0.0185987316602873,0.0584425992398022,0.00227692859188527,0.0443741416528069,0,0.0267076050703999,0
0.00579991327490764,0.00132754013365442,0.00811132432088316,0.00579318576287611,0.00370139059843936,0.0222753023536041,0.00610272184094005,0.00816291905930207,0.0209170284677739,0.00687153212883551,0.00583986716441463,0.00478677875756277,0,0.00286853568954894,0
0.00400865423528603,0.00107626963474713,0.00413460667218403,0.0109040023985436,0.0102721387102185,0.0055276787685606,0.00477303073627673,0.0102770440863961,0.00623730908468813,0.00456472465474583,4.91051281054153e-05,0.0512005056851756,0,0.00155235729263596,0
0.00514771275864739,0.000735941531234461,0.00211527037963969,0.0041225733761544,0.00285343314810138,0.0175317081380252,0.00113979438551332,0.0148716270317286,0.00681685834717541,0.0224782979292345,0.00301194309179014,0.00790265190320878,0,0.0114117300150566,0
0.00502254292443448,0.00517161702484132,0.00317206616894393,0.00540172865137356,0.00317201233241769,0.00298430298312617,0.0123921929514138,0.0303918155873824,0.00178547275667586,0.00058017730789638,0.014643398944316,0.0702996151487285,0,0.000228554627137568,0
0.00658079354153434,0.00336340375188461,0.000605171112760204,0.000587714912962884,0.00101557061212479,0.00256794832847882,0.00460851888828266,0.00636901442991661,0.00168269737909941,0.00158671904643013,0.00469065542308405,0.00322493971132332,0,0.00172609205756013,0
0.0011370060603937,0.00214854244134306,0.000235423459430618,0.000404339104593461,0.00163477803996087,0.00274610188247216,0.000401359503183854,0.00551426388183822,0.0011686457183159,0.00141137522155018,0.0011611976958325,0.0588674838616173,0,0.028454349604491,0
0.000957898355979797,0.00135279792195589,0.00251142496279713,0.000724521523968554,0.00205855832925554,0.00180170671106213,0.000130310571211101,0.000311274731892629,0.000137549430800315,0.000650743480514305,0.000480538215333152,0.00196643033181428,0,8.95029235121842e-05,0
0.0011013177950228,0.000937106555060479,0.000451768593824291,0.00257960300451897,0.000701732975783488,0.0114063993967621,0.00431292374001,0.0217054538200669,0.013312932935063,0.00101553839619885,0.000517900910819306,0.00344489458732761,0,0.0739486850720686,0
0.00100065338422615,0.00145165076300133,0.000665498215617008,0.000260103829267364,0.000774965643059804,0.00201000688834903,0.000163607845734063,0.00365477531101986,0.0081393893909007,0.000306808981307413,1.49016649939379e-05,0.000574393955609475,0,0.000609277965297594,0
0.00757457692735905,0.00216151999435695,0.00345892547820842,0.00267089593935418,0.000384438691305449,0.000377391088105045,0.00188454748730317,0.00779635852499851,0.00128639075112388,0.000895496795771266,0.00472920849761369,1.84171595775967e-05,0,0.0414329248101316,0
0.00210703631094383,0.0020120186334606,0.000553439556138096,0.00196312216602847,0.000327635384236019,0.00156996860184217,0.00212545429002135,0.00178800083603378,0.00914859146222286,4.92493888317979e-05,0.00279203514292567,0.062579485083722,0,0.00211179998846988,0
0.00535133429804114,0.00307598665436494,0.000762433690804579,0.0111153082151034,0.00315361381048669,0.000623634415965008,0.000889899376423199,0.0020662473254753,0.0215308870049228,0.00325141543957652,0.00133909633672917,0.00842192453939835,0,0.00379004673433254,0
0.0030353159851104,0.00697727859593559,0.00313872451360425,0.00149654309600927,0.000992542700407234,0.00674357274937339,0.00124484329146501,0.0181965017460957,0.00479518794978924,0.000430965948558737,0.0245649430915698,0.016889287214856,0,0.000486414761126034,0
0.00231771538820519,0.00506683379096133,0.00175708320870791,0.00241516597996264,0.00687750399260751,0.0056288811713396,0.00670713141594093,0.007186557127206,0.0015872366429631,0.00134676331691738,0.0020589104662231,0.0132817479735094,0,0.00184027899974258,0
0.00355475600393391,0.00460286535130248,0.00541082520669144,0.00465956182461796,0.00130929554210918,0.00136995907201552,0.000715775216683051,0.00718180483254143,0.00797590561132044,2.72267646086387e-05,0.00166016827029134,0.0296426037908771,0,0.000225648275192253,0
0.00252523956671486,0.00395930229165198,0.000559910371084315,0.00255613816151799,0.0129689228010653,0.00302412634715209,0.00952185778598198,0.018807276494527,0.0758083259564333,0.0023804056718082,0.0261125673490343,0.000940333792369778,0,0.0292770739843997,0
0.00061811748420738,0.00592137199833061,0.00324097071128325,0.000626501178316506,0.00122711968844999,0.00162244500321048,0.00110377883368623,0.00479238170866678,0.0181825198727467,0.00203633903830049,0.0259058329353195,0.000847095151865054,0,0.00463120774139994,0
0.0017119813897215,0.00131731946965268,0.00261709678844377,0.00147327804826265,0.00447068108532273,0.00338052177216508,0.00431450568045756,0.00631567743106847,0.0205733731348387,0.0032989445515125,0.003116279018989,0.000650905851325104,0,0.000231362822224163,0
0.00111630596950405,0.000206789927924527,0.000505733581875659,0.000317659627445903,0.000817050270745065,0.00092125356402714,0.0022765243847085,0.00354533688671489,0.00464486812532864,0.0258910262443558,0.00769353418453143,1.28605759345437e-05,0,0.0272701805248947,0
0.000120964775492812,0.00227785724543301,0.000644709123387228,0.000113850990890532,0.000489936069551711,0.00054009922260099,0.000106364188151903,0.00491724030167112,0.00251835663046681,0.018936665521851,0.000517975142600978,0.0376487611828816,0,0.034683702503567,0
0.000141100181621389,0.000363016220369935,0.000157976089582896,0.00163243448477755,0.00460480293122488,0.000883303207972294,0.000376852770553346,0.00110180191842576,0.000259142965690723,0.000966833540984515,0.00678646534910964,0.000850475463917306,0,0.00474885760882183,0
0.000614883788433591,0.000892488838288754,0.00177375776232708,0.00088646010182832,0.000393036329944959,0.000445140806083498,0.00505387305877168,0.00127709880032401,0.0126418497021051,0.000701323178511095,0.00316355485854933,0.00293506079166985,0,0.00412676096835423,0
7.01241483841576e-05,0.000744789514106761,0.00107111923777875,0.000179165720721396,0.000192852034307536,0.00141198847895372,0.00012863516483893,0.00280624014741194,0.00331421629358103,0.00237512000907466,0.00094867452569071,0.00240075583402615,0,0.00238631393528831,0
0.000331485744391564,0.000689673987476346,0.000509760870128659,0.00199542819373675,0.000577085124128845,0.00278820088699717,0.000899535483565393,8.26258364272097e-05,0.00401198813054984,0.000181408982505586,0.00869328555466311,0.00483404709734267,0,8.60269786726272e-07,0
0.000951390516548858,0.000622917995396441,0.000472486924521998,0.000129638107774885,0.0037356364546663,0.000166393378429418,0.000252201611685705,0.00733556181025898,0.000142464914322487,5.39156963514248e-05,0.000443610245316862,0.00146584682369643,0,0.108233523795672,0
0.000681257738406492,0.00112149533938469,8.17551546995163e-05,0.00166824003320169,0.00480354219317219,0.00310352634457176,0.000492290894349488,0.00224931369212074,0.0131391339832751,7.13732001383676e-05,0.0020614026006988,0.000128380089600565,0,0.0372628926295374,0
0.000322972015355647,0.00197506486319329,0.002912817211141,0.000213614350982911,0.00429280650461464,0.000813393727910453,0.00323764143993816,0.00421874545253824,0.0113463287574864,0.0382229596993067,4.02771744150509e-05,0.00869062750869529,0,0.0311130889975626,0
0.000194441543405209,0.000746412968348646,0.000220220085318671,0.000185145430571383,0.00105665285790857,0.00875044511448928,0.000807808448634356,0.000347893100154723,0.000129358057765246,0.000345045802187743,0.006042234816216,0.00276407027889798,0,4.86477650812823e-05,0
0.000184082435967338,0.000349690664862372,0.000240692990710579,0.000367344425929762,0.000597430097932216,0.00164742869766465,0.000491171465711482,0.00015720343894823,0.000729131139332238,0.0002275457348546,0.0546474995747574,0.000415468527300997,0,6.46955183680212e-05,0
0.000109418150907805,0.000886475825032345,0.000216370125844185,0.000153201793577225,0.000376459560951686,2.76063393878101e-05,0.00107265341987923,0.0294849521381883,0.00216855396951832,0.00044034807852796,0.000518924683145914,0.000488222263688614,0,0.0362910430697258,0
0.000193994371669792,0.00174355043522577,0.00195896449925696,0.000228690466216876,0.000174781768142969,0.000751838141936021,0.0104922323087021,0.00236084759523172,0.00245697874521538,0.000155338332984813,0.00368445609909527,6.54406258580444e-06,0,0.0452702653925759,0
0.000150140045248042,0.00237683401010064,0.000399694618824095,4.98256797251125e-05,0.000870536582775354,0.000275116345471573,0.00131720045226785,0.0140731631089332,0.0359570933792271,0.00151747644889024,0.000215735935685832,0.00211733649854269,0,0.00892431614277325,0
6.00088540058951e-05,0.000255643255833837,0.000551591162862745,0.000958570157404546,5.28871895111191e-05,0.000175529948411192,0.000110603816210418,8.13789372363069e-06,0.000323114707318686,0.00168310408113254,0.0158379446042395,0.00129590798489066,0,0.187193264284995,0
