"Block_Length","WRC_Statistic","WRC_p_value","SPA_Statistic","SPA_Consistent_p_value","SPA_Conservative_p_value","CPA_Statistic","CPA_p_value"
3,7.21631963482965,0.016016016016016,0.32622221062286,0,0.528528528528528,0.321306336935155,0
5,7.21631963482965,0.011011011011011,0.325962136403313,0,0.423423423423423,0.320832754532348,0
8,7.21631963482965,0.005005005005005,0.326480903745753,0,0.429429429429429,0.324277175635847,0
12,7.21631963482965,0.002002002002002,0.313171433090249,0,0.395395395395395,0.309670455499888,0
