"Models","Bootstrap_Replications","Minimum_Runtime_Sec","Median_Runtime_Sec","Mean_Runtime_Sec","Maximum_Runtime_Sec","Runs","Benchmark","Realized_Series","Data_Source","Protocol_Note"
5,199,0.0180000000000291,0.0190000000002328,0.0219500000001062,0.0840000000025611,20,"AR_1","HA","Observed AR_1-versus-competitor loss differentials","Median/minimum/mean/maximum of 20 complete WRC+SPA+CPA battery runs; setup excluded from timing."
13,199,0.0200000000004366,0.0210000000006403,0.0294000000001688,0.117000000002008,20,"AR_1","HA","Observed AR_1-versus-competitor loss differentials","Median/minimum/mean/maximum of 20 complete WRC+SPA+CPA battery runs; setup excluded from timing."
30,199,0.0269999999982247,0.0270000000018626,0.0306500000004235,0.091999999996915,20,"AR_1","HA","Observed AR_1 loss differentials plus 17 synthetic AR(1)-perturbed series","Median/minimum/mean/maximum of 20 complete WRC+SPA+CPA battery runs; setup excluded from timing."
5,999,0.0879999999997381,0.0910000000003492,0.0958000000000538,0.152999999998428,20,"AR_1","HA","Observed AR_1-versus-competitor loss differentials","Median/minimum/mean/maximum of 20 complete WRC+SPA+CPA battery runs; setup excluded from timing."
13,999,0.0989999999983411,0.10399999999936,0.174649999999565,0.457999999998719,20,"AR_1","HA","Observed AR_1-versus-competitor loss differentials","Median/minimum/mean/maximum of 20 complete WRC+SPA+CPA battery runs; setup excluded from timing."
30,999,0.139999999999418,0.148499999999331,0.157599999999911,0.253999999997177,20,"AR_1","HA","Observed AR_1 loss differentials plus 17 synthetic AR(1)-perturbed series","Median/minimum/mean/maximum of 20 complete WRC+SPA+CPA battery runs; setup excluded from timing."
5,4999,0.464999999996508,0.480000000001382,0.4996000000001,0.718000000000757,20,"AR_1","HA","Observed AR_1-versus-competitor loss differentials","Median/minimum/mean/maximum of 20 complete WRC+SPA+CPA battery runs; setup excluded from timing."
13,4999,0.514999999999418,0.535500000001775,0.567499999999927,0.824000000000524,20,"AR_1","HA","Observed AR_1-versus-competitor loss differentials","Median/minimum/mean/maximum of 20 complete WRC+SPA+CPA battery runs; setup excluded from timing."
30,4999,0.677000000003318,0.695999999999913,0.756200000000536,1.70799999999872,20,"AR_1","HA","Observed AR_1 loss differentials plus 17 synthetic AR(1)-perturbed series","Median/minimum/mean/maximum of 20 complete WRC+SPA+CPA battery runs; setup excluded from timing."
