"Period","Cross_Sectional_SD"
1,1.43251933846463
2,1.6559554227899
3,1.39691747943889
4,1.97162929241765
5,1.92098702242351
6,1.55293113070316
7,0.73612962206357
8,0.879453213158887
9,1.17870514872783
10,1.83891691974429
11,1.31547717249598
12,1.87279893865657
13,1.03554927292533
14,1.30412535585679
15,1.48596600708736
16,1.55040665987663
17,1.25905779100799
18,1.293789131214
19,1.81704043675567
20,1.58876860697634
21,2.18957365626497
22,1.86607248972157
23,0.879101785152638
24,1.2379969736795
25,1.62190002858192
26,1.4250272808162
27,1.51192249779239
28,0.889658090051699
29,1.44098170105896
30,2.09662127586386
31,1.37536319347591
32,0.922619708470787
33,1.01961840010914
34,1.61485060654131
35,1.7710713112661
36,1.37364325448684
37,1.11943021530007
38,1.16970093678824
39,1.58149679596184
40,1.97003839452237
41,1.34499448053875
42,1.52300750752475
43,1.00104289591087
44,1.93923070084068
45,1.78424532400511
46,1.76068860778282
47,1.69134891011444
48,1.44761781809883
49,1.85979609078141
50,2.10766921556056
51,1.64132491903198
52,1.86813213266928
53,1.12087912700899
54,1.25231452794018
55,1.54240740801614
56,1.75878973788855
57,1.76297342101925
58,1.08547132383938
59,1.37853965359072
60,1.33613343421743
61,3.01432736489149
62,1.37465357644367
63,1.83077664609513
64,1.44078833413034
65,1.10353103231529
66,2.57736888279429
67,0.77560197242925
68,1.47897403836947
69,1.39307596416915
70,1.21705474257826
71,1.14418903219962
72,1.65708025337526
73,1.59631931052106
74,1.34000594411398
75,0.88155378073878
76,0.736176912279936
77,2.25519402557975
78,1.74150061454496
79,1.52240841732229
80,1.75756667296645
81,1.50309855468842
82,1.65237842189452
83,1.59335978370029
84,1.71434193126363
85,1.5174429549135
86,1.91387745130934
87,1.92452404447766
88,1.27363780827231
89,1.64170452544483
90,1.23747440914451
91,0.862881212795977
92,1.48244643295865
93,1.25838268669682
94,1.18106014046231
95,1.2162775413482
96,1.4882807875243
97,1.06362938393158
98,1.29736867241239
99,0.996470083908432
100,1.30394777941477
101,1.80027183512554
102,1.88767858662634
103,1.50835080835928
104,2.01075196865288
105,1.33658249435847
106,1.65583098245193
107,1.27554749155506
108,1.21012583005157
109,1.59363114275607
110,1.9606993123603
111,0.932351734202324
112,0.782173606185187
113,1.4654000882512
114,1.86428134175705
115,1.40971330014054
116,1.87411177455434
117,1.30703858897381
118,1.12817636161918
119,2.15778636887816
120,1.70856804182843
121,1.18192376100073
122,1.51562452170354
123,1.38150882648376
124,1.37556505178315
125,1.18673531726199
126,1.44413019944831
127,2.16410733612685
128,0.634768789504345
129,1.2340528355231
130,1.41964733420626
131,1.65462751318553
132,1.31734318720569
133,0.975006600463361
134,2.32539818196484
135,1.31503774245799
136,1.01363283858911
137,1.69374427052496
138,1.99910235780328
139,1.77512289403705
140,1.07618815982387
141,1.01140520786709
142,1.45040364181719
143,1.45300421583251
144,1.67948780146145
145,2.14476987209586
146,1.25102501533888
147,1.96333522883531
148,1.47286865022369
149,1.73847390178328
150,2.67426307178713
151,1.35451042137487
152,1.92254714051634
153,1.87574615594549
154,1.45229995360479
155,1.76535333935864
156,0.980886146860241
157,1.11989764822796
158,1.84163214323337
159,2.25654293023619
160,1.4318628142058
161,1.32883567541083
162,1.85870316669707
163,2.69588975479865
164,1.67349859911564
165,2.60255984604467
